"id","name_en","public","active","short_description_en","description_en","organization_id","north_star","north_star_2","north_star_3","continent","country","Latitude","Longitude","iso alpha","main_kpi_unit_en","main_kpi_unit_es","main_kpi_unit_fr","secundary_kpi_unit_en","secundary_kpi_unit_es","secundary_kpi_unit_fr","target_kpi","reason_1_en","reason_1_es","reason_1_fr","reason_2_en","reason_2_es","reason_2_fr","reason_3_en","reason_3_es","reason_3_fr","reason_4_en","reason_4_es","reason_4_fr","reason_5_en","reason_5_es","reason_5_fr","reason_6_en","reason_6_es","reason_6_fr","sdg_1","sdg_2","sdg_3","sdg_4","sdg_5","sdg_6","media_1","media_2","media_3","media_4","media_5","media_6","media_7","media_8","media_9","media_10","creation_date"
"21","Inspire young people to take action for sustainability","True","True","The Imagine School Program of the Projet Imagine Association aims at raising awareness amongst students through education in order to create responsible and committed citizens in a sustainable and inclusive society.","Through the ISP program «Imagine School Program», the association Projet Imagine seeks to raise awareness of citizenship and sustainable development among children and youth. The program is implemented in France and is open to all schools, public and private, from kindergarten to high school. Once trained by the ISP team, the teacher co-leads or facilitates the sessions which aim at reinforcing the notions of social and collective responsibility. The program takes place in 3 phases: 1) the Inspiration phase: a journey that leads the student to self-discovery; 2) the Action phase: students develop their group project using project management methodological tools; and 3) the Implementation phase of the sustainable development project in partnership with local associations (e.g.: Unicef Nord, UL of the Red Cross in Bobigny, etc.). Your support will enable 336 students from 12 classes to attend this program.","L’Association du Projet Imagine","education","inclusiveness","","europe","France","46","2","FRA","hours of education for citizenship and sustainability given to young people","horas de aprendizaje sobre ciudadania y medio ambiente impartidas a jovenes","heures d’enseignement aux jeunes à la citoyenneté et à la durabilité","per hour session per person","por hora de formación por persona","par heure de formation par personne","4000","It encourages the listening, expression, and communication skills of participants.","El programa fomenta su capacidad de escucha, expresión y argumentación de los participantes.","Les Kits pédagogiques remis aux établissements ont été conçus en cohérence avec les objectifs de l'EMC (Enseignement Moral et Civique).","The educational Kits delivered to schools were designed according to the objectives of the MCE (Moral and Civic Education).","Los kits pedagógicos que se entregan a los centros educativos se han diseñado en consonancia con los objetivos del EMC (Enseñanza Moral y Cívica).","L’équipe du PEI encourage le lien des établissements avec des associations locales qui touchent les publics choisis par les élèves.","The ISP team encourages institutions to connect with local associations chosen by the students.","El equipo del PEI fomenta el vínculo de los centros educativos con asociaciones locales elegidos por los alumnos.","Ce projet renforce la confiance en soi de chaque élève.","This project encourages each students’ self-confidence.","Este proyecto refuerza la confianza en sí mismo de cada alumno.","Il permet de sensibiliser aux grands enjeux de développement durable et de citoyenneté.","It raises awareness of the major issues of sustainable development and civic engagement.","Permite sensibilizar sobre los grandes retos del desarrollo sostenible y de la ciudadanía","Il encourage également leur capacité d’écoute, d’expression et d’argumentation. ","The project inspires participants to take action and enables the development of team-building and project setup skills.","Fomenta también la acción y el compromiso y permite desarrollar las competencias de gestión de proyectos en equipo.","Il encourage aussi à l’action et à l’engagement, et permet de développer des compétences de montage de projet en équipe.","education","gender","inequalities","cities","climate","partnerships","","","","","","","","","","",""
"11","Support vulnerable women in situation of job insecurity","True","True","Inmigrant women face greater employment barriers, hindering their personal growth as well as their ability to integrate into society. Without the right support, these barriers can push them into extreme poverty. This project seeks to empower vulnerable women facing job insecurity or precarious work in Paris suburbs.","Gribouilli, the first professional association for childcare in the area of Paris, was created to professionalize and promote early childhood careers. Among the women who babysit at home, many are single mothers, with an immigrant background and sometimes considered 'senior'. With Gribouilli, they can train through a program of workshops and benefit from individual follow-ups to better manage their professional career. They can also be part of a community, become 'Ambassadors' of Gribouilli and get involved in responsible functions of the association. Gribouilli´s program 'Training-Action' is part of their targeted professionalization activities and is designed for nannies that experience job insecurity. Through a series of workshops over the course of a month, 9 women get training on employability skills and receive professional counseling. From learning how to write a CV to contract negotiation strategies: the training program prepares nannies for a successful insertion in the labor market. Great emphasis is also placed on coping mechanisms women can adapt to better deal with the negative impacts of the health crisis on employment.","Gribouilli","education","inclusiveness","","europe","France","46","2","FRA","hours of employment training given to women facing job insecurity","horas de formación laboral impartidas a mujeres vulnerables","heures de formation à l'employabilité données à des femmes vulnérables","per hour session per woman","por hora de formación por mujer","par heure de formation par femme","360","The 'Traning-Action' sessions empower women in vulnerable job conditions by allowing them to develop the needed skills to enter the job market.","Las sesiones de 'Traning-Action' capacitan a las mujeres en condiciones de vulnerabilidad laboral permitiéndoles desarrollar las habilidades necesarias para conseguir empleo digno.","Les sessions de 'Formation - Action' donnent à ces femmes dans une situation de vulnérabilité la capacité à trouver un emploi digne","Gribouilli supports both families and nannies in the COVID 19 context","Gribouilli ofrece apoyo especial tanto para familias como para niñeras en el contexto de COVID 19","Accompagnement de Gribouilli adapté tant pour les familles que pour les nounous dans le contexte COVID 19"," A project that raises awareness about labor rights and offers support to women even before the beginning of the training (i.e. paperwork).","Un proyecto que sensibiliza sobre los derechos laborales y ofrece apoyo a las mujeres incluso antes del inicio de la formación (por ejemplo con trámites, papeleo y demás).","Un projet qui sensibilise sur le droit du travail et offre un appui aux femmes même avant le début de la formation (par exemple sur les démarches administratives)","A participatory program through which nannies are “Ambassadors“: solutions “by and for nannies“","Un programa participativo a través del cual las niñeras son “Embajadoras“: soluciones “por y para niñeras“","Un programme participatif à travers lequel les nounous sont les « Ambassadrices »  : des solutions « par et pour les nounous »","Peer learning system in an intercultural and intergenerational context","Sistema de aprendizaje entre pares en un contexto intercultural e intergeneracional","Système d'apprentissage par les pairs dans un contexte interculturel et intergénérationnel","Gribouilli offers companies to integrate its childcare solutions for a better balance between family and professional life","Gribouilli ofrece a las empresas la integración de sus soluciones de puericultura para un mejor equilibrio entre la vida familiar y profesional","Gribouilli propose aux entreprises d'intégrer ses solutions de gardes d'enfants pour une meilleure conciliation vie familiale/vie professionnelle","education","gender","economy","inequalities","","","","","","","","","","","","",""
"32","Improve the living conditions of slum dwellers","True","True","Urban slum communities in the Philippines face a high crime rate as well as a rapid spread of infectious diseases, especially due to poor hygiene practices. The pandemic has exacerbated the poverty situation of many families, who are unable to maintain adequate hygiene to protect themselves from infectious diseases andCOVID-19. The Eau et Vie association distributes hygiene kits to vulnerable populations and conducts awareness-raising workshops.","Eau et vie is committed to <b>improving the living conditions</b> of those who need it most. Across the Philippines, the French association <b>distributes hygiene kits to dwellers of urban slums</b>. They aim at spreading awareness about the importance of good hygiene practices, in order to prevent infectious diseases.<br><br>The association has developed three kits, <b>which are always distributed alongside the realization of awareness-raising sessions</b>. A hygiene kit (soap and masks), a personal hygiene kit for children (toothpaste, toothbrush, towel and soap) and a menstrual hygiene kit for women who are extremely precarious in this regard (sanitary napkins and soap).<br><br>Workshops take place in schools. <b>Most of these sessions are aimed at a young audience</b>, who can adopt the knowledge in a more sustainable way.","Eau et Vie","health","inclusiveness","","asia","Philippines","13","122","PHL","women and children getting access to hygiene kits","mujeres y niños recibiendo acceso a kits de higiene","femmes et enfants ont accès à des kits d’hygiène ","per beneficiary for access to a hygiene kit","por beneficiario para acceder a un kit de higiene","par bénéficiaire pour l'accès à un kit d’hygiène","20000","Adaptation among beneficiaries is strengthened through awareness sessions.","La adaptación entre beneficiarios se refuerza a través de sesiones de sensibilización.","L'adaptation des bénéficiaires est renforcée par des séances de sensibilisation.","The project fights menstrual precariousness of women in the slums, as it is often a taboo subject.","El proyecto combate la precariedad menstrual de las mujeres en los barrios marginales, ya que suele ser un tema tabú.","Le projet lutte contre la précarité menstruelle des femmes dans les bidonvilles, sujet trop souvent considéré tabou.","Low-cost intervention which positively impacts the lives of entire communities.","Intervención de bajo coste que repercute positivamente en la vida de comunidades enteras.","Ces interventions à faible coût ont un impact positif sur la vie de communautés toutes entières.","Good hygiene practices prevent the spread of infectious diseases and viruses, such as coronavirus.","Las buenas prácticas de higiene evitan la propagación de enfermedades infecciosas y virus, como el coronavirus. ","De bonnes pratiques d'hygiène empêchent la propagation de maladies infectieuses et de virus, tels que le coronavirus.","The project fosters local development: awareness activities are implemented by local associations in partnership with community associations, schools and town halls.","El proyecto fomenta el desarrollo local: las actividades de concienciación son llevadas a cabo por asociaciones locales en colaboración con asociaciones comunitarias, escuelas y ayuntamientos.","Le projet favorise le développement local : des actions de sensibilisation sont mises en œuvre par des associations locales en partenariat avec des associations communautaires, des écoles et des mairies.","","","","health","gender","clean","cities","","","","","","","","","","","","",""
"34","Support children in SOS villages to succeed at school","True","True","The aim of SOS Villages d’Enfants in terms of educational support is to enable each child it welcomes in a village to progress towards academic success. Considering academic difficulties are often linked to the living and home situation, the association intends to do everything possible to promote the success of the children it supports.","Unable to remain in their family environment, children removed from their parents by decision of the judge need special care and attention. They generally have irregular school paths, often experience school delays and tend to focus mostly on short professional cycles.<br><br>Aware of this reality, <b>SOS Villages d’Enfants has developed the 'Pygmalion program' for academic success</b>. It has been deployed since 2014 in the 17 SOS Villages in France, welcoming 1000 children in total. This program aims at <b>preventing dropouts and school failures</b> as well as reconciling children with school. It also focuses on <b>increasing the number of completed school courses</b> or diplomas obtained and reduces school gaps.<br><br>To do this, it <b>provides individualized support for each child</b> through a school educator, hours of school tutoring and educational projects to develop children's cognitive and psychomotor skills.","SOS Villages d’Enfants","education","inclusiveness","","europe","France","46","2","FRA","hours of tutoring to children of the SOS Villages ","horas de tutorías impartidas a niñas/as de aldeas SOS","heures de soutien scolaire à des enfants accueillis dans un Village SOS ","per hour of tutoring per child ","por hora de tutoría por niña/o","par heure de soutien scolaire par enfant","2000","This project supports equal opportunities for all and demonstrates that despite a child's difficult past, they can become an accomplished, fulfilled and independent adult.","Este proyecto apoya la igualdad de oportunidades para todos y demuestra que, a pesar del difícil pasado de un niño, éste puede convertirse en un adulto realizado y autónomo.","Ce projet soutient l’égalité des chances et démontre que, quel que soit le passé difficile d’un enfant, il peut devenir un adulte accompli, épanoui et indépendant.","The facilities of SOS Villages d’Enfants provide real individualized support for each child during their schooling.","Las instalaciones de SOS Villages d'Enfants proporcionan un verdadero apoyo individualizado a cada niño durante su escolarización.","Les établissements de l’organisation permettent un vrai accompagnement individualisé de chaque enfant sur sa scolarité. ","In each SOS village, a school educator is entirely dedicated to the schooling of the 50 children received.","En cada aldea SOS, un educador escolar se dedica por completo a la escolarización de los 50 niños acogidos.","Dans chaque village SOS, un éducateur scolaire se dédie entièrement aux scolarités des 50 enfants accueillis.","Psychomotor, emotional and cognitive development projects (yoga, art therapy, sophrology, etc.) are being developed in different villages.","En las diferentes aldeas se desarrollan proyectos de desarrollo psicomotor, emocional y cognitivo (yoga, arteterapia, sofrología, etc.)","Des projets de développement psychomoteur, émotionnel et cognitif (yoga, art thérapie, sophrologie…) sont développés dans différents villages.","The results are quantifiable and tangible.","Los resultados son cuantificables y tangibles.","Les résultats sont quantifiables et tangibles","","","","poverty","education","inequalities","","","","","","","","","","","","","",""
"38","Support the inclusion of exiled people through green skills","True","True","As in other European countries, the social and professional integration of refugees poses a major challenge for France. The EKO! Association reconciles efforts to promote the integration of these people with efforts to protect the environment. This program helps refugees develop green skills through the construction of low-tech systems. ","The Low-tech and Refugees program contributes to <b>improving the resilience and autonomy of exiled people, while contributing to the ecological transition of the territory</b>. The program is implemented by EKO! in the island of Lesbos in Greece and in the cities of Marseille and Briançon in France.<br><br>In France, the program disseminates ecological and technical know-how and <b>supports the socio-professional integration of exiled people through ecological jobs</b>. In the collaborative workshops, refugees learn how to build low tech systems which have a low cost and are made out of recyclable and renewable materials. Non-exiled people also participate in the association's workshops which fosters bonding with exiled members.<br><br>The low-tech workshops focus on eco-skills such as bicycle repair, creation of pallet furniture or solar cooking. Each participant leaves with a technical knowledge and a concrete and/or reproducible realization, which will be useful in their daily life. Moreover, <b>sustainable jobs in the construction, agriculture, and energy sectors are in full expansion</b>, which represents a great opportunity for the integration for exiled people.","Eko!","inclusiveness","zero_waste","","europe","France","46","2","FRA","exiled people benefiting from low-tech workshops that promote inclusion","personas exiliadas beneficiándose de talleres de low-tech que promueven la inclusión","personnes exilées bénéficient d'ateliers low-tech qui favorisent l'inclusion","per refugee","por persona","par personne","300","The project promotes social inclusion while simultaneously contributing to fight pollution.","El proyecto fomenta la inclusión social y, al mismo tiempo, contribuye a luchar contra la contaminación.","Le projet promeut l’inclusion sociale tout en contribuant à la lutte contre la pollution.","Being and doing with others at the makerspace enriches diversity of people and ideas.","Estar y hacer con otros en el makerspace enriquece la diversidad de personas e ideas. ","Être et faire avec l’autre, vers une diversité enrichissante de personnes et d’idées. ","Scalability: the low-tech approach explored by Low-tech & Réfugiés has been adopted by other actors in the solidarity sector.","Escalabilidad: el enfoque de baja tecnología explorado por Low-tech & Refugees está siendo adoptado por otros actores del sector de la solidaridad. ","Reproductibilité: la démarche low-tech, explorée par Low-tech & Réfugiés est reprise par d’autres acteurs du secteur de la solidarité.","The training strengthens self-confidence through the development of soft and hard skills","La formación refuerza la autoconfianza mediante el desarrollo de competencias personales y profesionales. ","La formation renforce la confiance en soi à travers le développement des compétences à la fois personnelles et professionnelles. ","Since its launch, the program has impacted more than 6,500 direct beneficiaries and has allowed the manufacturing of more than 5,800 low-tech systems.","Desde su puesta en marcha, el programa ha repercutido en más de 6.500 beneficiarios directos y ha permitido la fabricación de más de 5.800 sistemas de baja tecnología.","Depuis le lancement, le projet a impacté plus de 6500 bénéficiaires directs et a permis la fabrication de plus de 5800 systèmes low-tech.","","","","poverty","education","economy","inequalities","cities","","","","","","","","","","","",""
"17","Prevent plastic from entering rivers and oceans","False","False","Our planet is drowning in plastic pollution. 80% of all the plastic ever produced has ended up in the natural environment, especially in our oceans. The environmental impact of plastic pollution threatens marine ecosystems, human food security, and contributes to global warming. This project supports the collection and upcycling of plastic waste from rivers and oceans, while raising awareness about plastic pollution in France and abroad.","80% of plastic pollution in the oceans comes from the rivers and streams that flow into them. Octop’us is implementing actions to raise citizens' awareness on the impact of their consumption habits on the environment and more particularly on the oceans. Through clean-up days and awareness sessions in schools and businesses, Octop’us provides action keys to those who want to act for the ecological transition. Hosted in an alternative third location, Octop’us has installed a low-tech waste recovery machine to give a second life to plastic objects collected by citizens. It offers a concrete solution to act for plastic pollution reduction. The plastic is collected, sorted and transformed into objects which are either kept by the participants or sold in order to finance other pollution control actions in France and abroad.","Octop'us","zero_waste","","","europe","France","46","2","FRA","kilograms of waste diverted from natural environment","kilogramos de residuos retirados del entorno natural","kilogrammes de déchets déournés des milieux naturels","per kilogram of reconditioned plastic","por kilogramo de plástico reacondicionado","par kilogramme de plastique reconditionné","35000","Octop'us created the first collaborative plastic waste recovery branch in the East of France in 2019.","Octop’us creó la primera unidad colaborativa de recuperación de residuos plásticos en la región de Alsacia en Francia en 2019.","Octop’us a créé la première antenne de valorisation des déchets plastiques collaborative de la région Alsace en France en 2019.","Octop'us partners with many actors of the social and solidarity economy on issues related to plastic pollution.","Octop’us colabora con diversos actores de la economía social y solidaria en torno a temas relacionados con la contaminación plástica.","Octop’us collabore avec divers acteurs de l’économie sociale et solidaire autour de questions liées à la pollution plastique.","The association has developed a range of inclusive and innovative actions to raise awareness of the current climate situation.","La asociación ha desarrollado un panel de acciones inclusivas e innovadoras para concienciar al público sobre la situación climática actual.","L’association a développé un panel d’actions inclusives et innovantes pour sensibiliser la population sur la situation climatique actuelle.","Plastic waste is collected during depollution operations and transformed with low-tech machines to create new objects using a minimum of resources (water, energy, labor).","Los residuos plásticos se recogen durante las operaciones de limpieza y se transforman con máquinas de baja tecnología para crear nuevos objetos utilizando un mínimo de recursos (agua, energía, mano de obra).","Les déchets plastiques sont récupérés lors d’opérations de dépollution et transformés avec des machines low-tech pour créer de nouveaux objets en utilisant un minimum de ressources (eau, énergie, main d'œuvre).","The NGO adopts the codes usually attributed to startups and relies on influencers to make a committed communication resound.","La ONG adopta los códigos generalmente asignados a los startups y se apoya en “influencers” para su comunicación.","L’ONG adopte les codes habituellement attribués aux startups et s’appuie sur des influenceurs pour faire retentir une communication engagée.","Octop'us works with more than 200 partners in 38 countries around the globe. It works in particular on the preservation of coral reefs.","Octop’us trabaja con más de 200 socios en 38 países de todo el mundo. Trabaja en particular en la preservación de los arrecifes de coral.","Octop’us travaille avec plus de 200 partenaires répartis dans 38 pays autour du globe. Elle travaille notamment sur la préservation des récifs coraliens.","education","industry","consumption","water","land","partnerships","","","","","","","","","","",""
"2","Reduce child malnutrition","True","True","Malnutrition is one of the main causes of infant mortality in low income countries. Children who suffer malnutrition have major learning difficulties. This Mozambique-based program aims to improve the dietary practices and living conditions of vulnerable children under 6 years.","In the rural municipalities of Massaca and Mahanhane, in southern Mozambique, 47 children under 6 years of age have been identified as highly vulnerable. They belong to very unstructured families, they have malnutrition problems, and do not have access to a qualitative education. Our team in Mozambique intends to carry out personalized monitoring of these children, under the supervision of community health agents and the participation of the Massaca and Mahanhane children's centers, thus guaranteeing their most basic rights. The main objective of the project is the reduction of diseases linked to child malnutrition (anemia, infections, rickets, etc.) in the beneficiary children.","Fundación Mozambique Sur","health","education","","africa","Mozambique","-18.25","35","MOZ","children getting additional access to healthcare","niños y niñas con acceso adicional a servicios de salud","enfants bénéficiant d'un accès supplémentaire aux soins de santé","per child getting additional access to healthcare","por niño o niña con acceso adicional a servicios de salud","par enfant bénéficiant d'un accès supplémentaire à la santé","47","The beneficiaries are boys and girls living in extreme poverty, in one of the regions of the world with the lowest Human Development Index.","Los beneficiarios son niños y niñas en situación de extrema pobreza, en una de las regiones del mundo con más bajo Índice de Desarrollo Humano.","Les bénéficiaires sont des enfants qui vivent dans l'extrême pauvreté, dans l'une des régions du monde ayant l'indice de développement humain le plus bas.","It is a multidisciplinary project, covering health, education, gender","Es un proyecto multidisciplinar, que abarca salud, educación, género","C'est un projet multidisciplinaire, couvrant la santé, l'éducation, le genre","The efficiency of the project is very high, it has a low cost for the benefits it produces.","La eficiencia del proyecto es muy alta, tiene un coste reducido para los beneficios que produce.","L'efficacité du projet est très élevée, il a un faible coût pour les bénéfices qu'il produit.","Methodology for measuring the efficiency of the project developed with a local partner, the Encontro Foundation and with very specific impact indicators","Metodología de medida de la eficiencia del proyecto desarrollada con un socio local, la Fundación Encontro y con indicadores de impacto muy específicos","Méthodologie de mesure de l'efficacité du projet développée avec un partenaire local, la Fondation Encontro avec des indicateurs d'impact très spécifiques","The project has a role in social integration and cohesion in the community in general","El proyecto tiene un papel en la integración y cohesión social en la comunidad en general","Le projet a un rôle important d'intégration sociale et de cohésion dans la communauté en général","","","","poverty","hunger","health","education","gender","","","","","","","","","","","",""
"44","Restore and protect coral reefs","True","True","Global warming, pollution, and human activities threaten the health of marine ecosystems and put biodiversity at risk. Reefscapers aims to restore coral reefs and marine habitats in the Maldives, using their innovative coral frame technique.","Reefscapers aims to <b>fight coral reef biodiversity loss and coastal erosion by efficiently restoring altered reefs and deserted sandy seabeds in the Maldives</b>. This project takes place in the Goidhoo Atoll, situated on the west of the Maldives atoll chain.<br><br>Although coral propagation is not new, Reefscapers has created an <b>innovative propagation technique</b> using pyramid-shaped coral frames which <b>contribute to corals’ rapid growth</b>. The project involves long-term monitoring and maintenance. All the coral frames are biannually monitored, with pictures taken and uploaded to their website.<br><br>Moreover, the team is working towards the development of ever more resistant coral offspring, better adapted to withstand higher seawater temperatures, and so <b>help the corals in their fight against global warming</b>.","Reefscapers","biodiversity","","","asia","Maldives","3.25","73","MDV","hectares of seabed restored and protected","hectáreas de lecho marino restauradas y protegidas","hectares de fonds marins restaurés et protégés","per square meter restored","por metro cuadrado restaurado"," par mètre carré restauré","0.03","Reefscapers has planted more than half a million coral colonies and it is a world leader in coral reef restoration.","Reefscapers ha plantado más de medio millón de colonias de coral y es líder mundial en la restauración de arrecifes de coral.","Reefscapers a planté plus d'un demi-million de colonies de corail et est un leader mondial de la restauration des récifs coralliens.","This project increases the productivity and biodiversity of the coral reefs.","Este proyecto aumenta la productividad y la biodiversidad de los arrecifes de coral.","Ce projet augmente la productivité et la biodiversité des récifs coralliens.","Local communities are supported and employment is fostered through the project. ","Se apoya a las comunidades locales y se fomenta el empleo a través del proyecto.","Les communautés locales sont soutenues et l'emploi est favorisé par le projet. ","The restoration of coral reefs contributes to carbon sequestration in minerals for a very long time.","La restauración de los arrecifes de coral contribuye a la retención de carbono en los minerales durante mucho tiempo. ","La restauration des récifs coralliens contribue à la séquestration du carbone dans les minéraux pour une très longue période. ","The team provides environmental education to communities and visitors. ","El equipo proporciona educación medioambiental a las comunidades y a los visitantes.","L'équipe dispense une éducation environnementale aux communautés et aux visiteurs.","Innovation: the team conducts research to develop more resilient species and improve their propagation techniques. ","Innovación: el equipo investiga para desarrollar especies más resistentes y perfeccionar sus técnicas de propagación.","Innovation : l'équipe mène des recherches pour développer des espèces plus résilientes et améliorer leurs techniques de propagation.","climate","water","land","","","","","","","","","","","","","",""
"28","Support women refugees in Kampala","True","True","Uganda hosts more than 1.4 million refugees, 86% of whom are women and children. These women often provide for their households on their own. Self-help groups run by the refugees themselves are essential in supporting them. This project reinforces these local organizations, such as SWPDA which supports 600 refugee women from South Sudan in Uganda.","The French NGO, Urban Refugee (UR), has developed an incubator to support refugee-led associations such as SWPDA, a project providing help to South Sudanese refugee women and their families. Through Urban Refugee’s support, refugee-led initiatives, such as SWPDA, receive technical and financial support. They work directly with refugee leaders to enhance their ability to provide for their communities and achieve long-term sustainability. UR’s support activities include, among others, facilitating training on fundraising, financial and project management, and partnership development. The Ugandan female-led association, SWPDA, supports over 600 Sudanese refugee women and their children. They offer a safe shelter to female survivors of sexual and gender-based violence, support community newcomers with the refugee registration process and provide food during Ramadan.","Urban Refugees","inclusiveness","","","africa","Uganda","1","32","UGA","women and children benefiting from inclusion initiatives","mujeres y niños beneficiados por iniciativas de inclusión social","femmes et enfants bénéficiant d'initiatives d'inclusion","per beneficiary of inclusion initiatives","por beneficiario de iniciativas de inclusión social","par bénéficiaire d’initiatives favorisant l’inclusion","417","The project revolutionizes humanitarian aid by positioning refugee women as central actors - and not final beneficiaries - of the system.","El proyecto revoluciona la ayuda humanitaria al situar a las mujeres refugiadas como actores centrales -y no beneficiarios finales- del sistema.","Le projet révolutionne l'aide humanitaire en positionnant les femmes réfugiées comme actrices centrales - et non bénéficiaires finales - du système.","The project strengthens the community as a whole by supporting its leaders.","El proyecto fortalece a la comunidad en su conjunto apoyando a sus líderes.","Le projet renforce la communauté dans son ensemble en soutenant ses dirigeants.","Overall, the incubator program fosters the inclusion of marginalized communities.","En general, el programa de incubación fomenta la inclusión de las comunidades marginadas.","Dans l'ensemble, le programme est un incubateur favorisant l'inclusion des communautés marginalisées.","It is aimed at supporting refugee women who have less access to humanitarian aid due to discrimation. ","Su objetivo es apoyar a las mujeres refugiadas que tienen menos acceso a la ayuda humanitaria debido a la discriminación. ","Il vise à soutenir les femmes réfugiées qui ont généralement moins accès à l'aide humanitaire en raison de la discrimination.","The Incubation Program has been piloted in Malaysia and Uganda since 2019 and has been successfully replicated.","El programa de incubación se ha puesto a prueba en Malasia y Uganda desde 2019 y se ha replicado con éxito.","Le programme d'incubation est expérimenté en Malaisie et en Ouganda depuis 2019 et a été répliqué avec succès.","60% of the world's refugees live in cities, like Kampala, thus help is needed beyond refugee camps. ","El 60% de los refugiados del mundo viven en ciudades, como Kampala, por lo que se necesita ayuda más allá de los campos de refugiados.","60% des réfugiés dans le monde vivent dans des villes, comme Kampala, ce qui rend l’aide humanitaire, en dehors des camps de réfugiés, nécessaire.","poverty","hunger","health","gender","inequalities","peace","","","","","","","","","","",""
"39","Offer language courses to foster integration of exiled people","True","True","Lack of French language skills undermines the possibilities of refugees and asylum seekers to find adequate jobs and, overall, hinders a successful integration. The association UniR offers language courses adapted to this audience’s needs using a blended learning methodology.","UniR’s FLE 2.0 program aims to <b>enable refugees and asylum seekers to learn French through blended learning</b>, in order to secure their <b>professional integration in a sustainable way</b>. Students have access to more than 120 hours of online exercises, in addition to 30 hours face-to-face with a teacher.<br><br>Thanks to the participation of two experienced teachers, students benefit from a <b>continuous and personalized pedagogical follow-up</b>. UniR's program offers quality, effective courses that meet the <b>specific needs</b> of refugees and asylum seekers who want to take control of their future and make the most of their past experiences. Students have access to courses at A2, B1 and B2 levels.<br><br>Since 2019, UniR has organized <b>5 courses for 225 refugees and asylum seekers</b>.","UniR Universités & Réfugié.e.s","education","inclusiveness","","europe","France","46","2","FRA","hours of French language training given to asylum seekers and refugee people","horas de formación en francés impartidas a solicitantes de asilo y personas refugiadas","heures de cours de Français données aux demandeurs d’asile et au réfugiés","per hour session per person ","por hora de formación por persona","par heure de formation par personne","1205","On average, 40% of participants go on to pursue language, academic or professional training.","En promedio, el 40% de los participantes prosiguen su formación lingüística, académica o profesional.","En moyenne, 40% de personnes qui suivent les cours de français rejoignent ensuite une formation linguistique, académique ou professionnelle.","A blended learning approach is truly innovative as it allows for more flexibility and dynamism.","Un enfoque de aprendizaje mixto es realmente innovador, ya que permite una mayor flexibilidad y dinamismo.","Une formation hybride est réellement innovante car elle permet plus de flexibilité et de dynamisme.","A digital tool with content specially designed for refugee people and asylum seekers which guarantees continuity of learning.","Una herramienta digital con contenidos especialmente diseñados para personas refugiadas y solicitantes de asilo que garantiza la continuidad del aprendizaje.","Un outil numérique dont le contenu est spécialement conçu pour les réfugiés et les demandeurs d'asile et qui garantit la continuité de l'apprentissage.","The program is scalable and adaptable: after the outbreak of the health crisis, the French courses were adapted to 100% online.","El programa es escalable y adaptable: tras el comienzo de la crisis sanitaria, los cursos de francés se adaptaron 100% en formato virtual.","Le programme est évolutif et adaptable : après le déclenchement de la crise sanitaire, les cours de français ont été adaptés pour être 100% en ligne.","Learning French is a way to fight against professional downgrading and to promote the long-term professional integration of participants.","El aprendizaje del francés es una forma de luchar contra la degradación profesional y de promover la integración profesional a largo plazo de los participantes.","Apprendre le français est un moyen de lutter contre le déclassement professionnel et promouvoir l’intégration professionnelle à long terme des participant·e·s.","Group sessions help participants to break the isolation and create mutual support networks.","Las sesiones de grupo ayudan a los participantes a romper el aislamiento y a crear redes de apoyo mutuo.","Les sessions de groupe aident les participants à rompre l'isolement et à créer des réseaux de soutien mutuel.","education","gender","inequalities","","","","","","","","","","","","","",""
